VTX, IDX, POSITION.x, POSITION.y, POSITION.z, NORMAL.x, NORMAL.y, NORMAL.z, NORMAL.w, TANGENT.x, TANGENT.y, TANGENT.z, TANGENT.w, TEXCOORD0.x, TEXCOORD0.y
5296, 1243,  0.07227,  0.01081,  0.46501,  0.06696,  0.99561,  0.0661,  0.00, -0.98486,  0.07654, -0.15527,  1.00, -0.94678,  0.46582
5297, 1246,  0.06343,  0.01084,  0.46158, -0.39673,  0.9126,  0.09906,  0.00, -0.90723, -0.37329, -0.19434,  1.00, -0.92871,  0.46191
5298, 1244,  0.06357,  0.00853,  0.49524, -0.46631,  0.88428,  0.01895,  0.00, -0.86963, -0.4541, -0.19397,  1.00, -0.93896,  0.52637
5299, 1247,  0.06136,  0.00845,  0.46187, -0.74658,  0.65576,  0.11353,  0.00, -0.66309, -0.71973, -0.20508,  1.00, -0.92236,  0.46387
5300, 1245,  0.06122,  0.00556,  0.49477, -0.78369,  0.62109, -0.00484,  0.00, -0.60938, -0.77051, -0.18811,  1.00, -0.93164,  0.52686
5301, 1247,  0.06136,  0.00845,  0.46187, -0.74658,  0.65576,  0.11353,  0.00, -0.66309, -0.71973, -0.20508,  1.00, -0.92236,  0.46387
5302, 1244,  0.06357,  0.00853,  0.49524, -0.46631,  0.88428,  0.01895,  0.00, -0.86963, -0.4541, -0.19397,  1.00, -0.93896,  0.52637
5303, 1246,  0.06343,  0.01084,  0.46158, -0.39673,  0.9126,  0.09906,  0.00, -0.90723, -0.37329, -0.19434,  1.00, -0.92871,  0.46191
5304, 1248, -0.08039,  0.00376,  0.2862, -0.28125,  0.79736,  0.53369,  0.00, -0.94531, -0.13379, -0.29785,  1.00, -0.06903,  0.07788
5305, 336, -0.06365, -1.57095E-17,  0.29806, -0.52051,  0.46118,  0.71826,  0.00, -0.85352, -0.3064, -0.42188,  1.00, -0.09064,  0.0896
5306, 335, -0.0621,  0.00608,  0.29521, -0.375,  0.81592,  0.44019,  0.00, -0.90723, -0.22559, -0.35498,  1.00, -0.09308,  0.08167
5307, 336, -0.06365, -1.57095E-17,  0.29806, -0.52051,  0.46118,  0.71826,  0.00, -0.85352, -0.3064, -0.42188,  1.00, -0.09064,  0.0896
